transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd
0x1a047676789e6c682dd9b694db6050325c726638171563161ff1bca2cacdaee1,14519033,2022-04-04,51042355038140769519506191114765231718280,0xf68611879483b8a3b18313cf3ecb8ff09a5f42ca,0xf15d7066b78a4e969deefa1e4ca945212ddd3171,0xf68611879483b8a3b18313cf3ecb8ff09a5f42ca,0xf15d7066b78a4e969deefa1e4ca945212ddd3171,3.5,12325.546536724838
0xc465493184eecd98987baf43f87e8667f67658e3a59fc82edd3a36a15fc3f36e,14518887,2022-04-04,18715530180651615490485603408747251629940,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x0ecd27b7e5b69e7bc11ddd4d6571124a7306b2fb,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x0ecd27b7e5b69e7bc11ddd4d6571124a7306b2fb,3.0,10564.754174335576
0x02422baf8ffc657e61f1d5657cac7662b1cc38995bda67002781a499427b23c0,14518255,2022-04-04,42875578232038246396385200536402794643430,0x8024c299e4091f5eb5e5b9cd5e5f6f289c64c94d,0xbdabdd6690baf04e136c9bd07b8d7b916299e3f9,0x8024c299e4091f5eb5e5b9cd5e5f6f289c64c94d,0xbdabdd6690baf04e136c9bd07b8d7b916299e3f9,2.9999,10564.402015863096
0x51e306ecd1352e192719043e99aea2ec6b19f7e3c7625d483d7b30a90df01374,14518015,2022-04-04,42875578232038246396385200536402794643430,0x9d72ef94f4b5538332276faebba83b2c9da62464,0x8024c299e4091f5eb5e5b9cd5e5f6f289c64c94d,0x8024c299e4091f5eb5e5b9cd5e5f6f289c64c94d,0x9d72ef94f4b5538332276faebba83b2c9da62464,2.542,8951.86837038701
0x6d5edfadf465b63210236f5cc41b0f835665643ea483bc90762661a96a9ee175,14517860,2022-04-04,115792089237316195423570985008687907827068242412728302352777739235666977357713,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x0ecd27b7e5b69e7bc11ddd4d6571124a7306b2fb,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x0ecd27b7e5b69e7bc11ddd4d6571124a7306b2fb,3.0,10564.754174335576
0x7f59973263025a404f4cb988640462ff2f0e7a0fad082e83df0212de75cc569c,14516389,2022-04-04,39132472195907923298288079854653344317301,0xf15d7066b78a4e969deefa1e4ca945212ddd3171,0xaf769c8d1e4174a6fc15ac13871038a5ef28448a,0xf15d7066b78a4e969deefa1e4ca945212ddd3171,0xaf769c8d1e4174a6fc15ac13871038a5ef28448a,3.59,12642.489161954903
0x366a0b40c0f05cd8c44b49e834d706558d317f1816b28d87540ea98ac708d90f,14515883,2022-04-03,9868188640707215440437863615521278132082,0x7689b7010ed678adeeb54b28987c01454e187fcd,0x2316c4e315e633af0ba1dab70149b4ea6a55a58a,0x7689b7010ed678adeeb54b28987c01454e187fcd,0x2316c4e315e633af0ba1dab70149b4ea6a55a58a,3.05,10493.025527391963
0xda1f321c3be0350c5c241c681bf3ea12b2dec60980a673d5cc8df0cfb43bfad7,14515631,2022-04-03,18034965446809738563558854193883715207075,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x4365ddf386b11abc1281a5acaecec72a13b3e028,0x9755c43c6bc84ebf8bf7801e0193ebf6a393852f,0x4365ddf386b11abc1281a5acaecec72a13b3e028,3.0,10321.008715467506
0x5c5e0c1358e830f9a81513f4b049056fcf9f8e0306efec4da1cf34eef412363f,14515583,2022-04-03,15993271245284107782778606549293105938573,0xc84b2ce6b2f2158cb5b542b46867fa7febd0a9cc,0x8190e2f3742879bedbb903f761199db784a9cc6b,0xc84b2ce6b2f2158cb5b542b46867fa7febd0a9cc,0x8190e2f3742879bedbb903f761199db784a9cc6b,3.015,10372.613759044843
0x59aad954585ecdf7e1af4c45e93d609adb8788c42a8254a165cca3aa21053852,14515174,2022-04-03,19396094914493492417412352623610788052987,0xd46140376603e780dd19c99cd41ac6e6001c4002,0xa01424b7540adbb792375dcf97b733a5d68ad347,0xd46140376603e780dd19c99cd41ac6e6001c4002,0xa01424b7540adbb792375dcf97b733a5d68ad347,3.5,12041.176834712089
